delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
84.34158637,95.58873199,94.62171939,206.2657584,0.458736923,0.463425111,0.408897662,1.010219774,0.891355462,1.672244459,0
85.10062143,96.53777097,93.42651136,200.7915104,0.465291143,0.480786119,0.423825795,1.033301678,0.910883005,1.619800846,0
83.14913744,94.5571332,93.79207659,198.4084147,0.472722272,0.476578241,0.419080701,1.008156943,0.886526245,1.644289142,0
84.14642708,92.89597747,79.56589034,200.9011303,0.396045011,0.46239649,0.418844966,1.167535197,1.0575691,1.584179911,0
82.6433224,96.52039506,85.12845458,196.6127586,0.432975231,0.490916234,0.420335501,1.133820595,0.970807268,1.572534982,0
84.89920946,100.0428477,85.49295811,202.6970131,0.421777099,0.493558569,0.418847856,1.170188164,0.993054999,1.558271686,0
74.3607411,97.90870147,85.12423935,200.3360095,0.424907332,0.48872243,0.371180105,1.150185919,0.873555425,1.657056786,0
68.08048774,94.44663425,87.42182232,199.1467605,0.438981895,0.474256443,0.341860885,1.080355359,0.778758506,1.763204684,0
63.12832207,77.72519394,77.7664926,185.7618439,0.418635447,0.418413127,0.339834709,0.99946894,0.811767639,1.870939001,0
62.69650887,79.3371776,80.0552643,185.1767486,0.432318123,0.428440278,0.338576573,0.991030113,0.783165347,1.867388079,0
61.60354926,80.33432714,76.05853034,179.58968,0.423512812,0.447321512,0.343023882,1.056217189,0.809949245,1.801127485,0
60.233753,78.66786202,76.93452012,177.40085,0.433676164,0.443446928,0.339534748,1.022530093,0.78292232,1.83104689,0
61.76415458,81.74503913,78.13821236,180.8435714,0.432076251,0.452020708,0.341533592,1.046159576,0.7904475,1.804635488,0
53.70699298,63.15050509,76.10466851,172.5948491,0.440944031,0.365888701,0.311173788,0.829784904,0.705699059,2.128229012,0
50.13129914,63.78112005,69.28352858,172.1321384,0.402501992,0.370535803,0.291237299,0.920581289,0.72356735,2.119309454,0
49.27582869,64.21173524,70.47762111,174.469809,0.403953105,0.368039236,0.282431837,0.911093965,0.699169863,2.158363627,0
49.32813269,66.19359648,70.2837622,180.7222091,0.388904953,0.366272617,0.272950032,0.941804969,0.701842519,2.172803101,0
54.00353641,70.12162164,72.21459258,171.7590747,0.420441206,0.408255702,0.314414458,0.971017341,0.747820274,1.965545673,0
172.7045393,119.9714552,149.2594626,279.0002262,0.534979719,0.430004867,0.619012184,0.803777885,1.157075982,1.463255261,0
260.9699929,123.7208655,145.2517792,281.2578142,0.516436422,0.439884189,0.927867529,0.851768331,1.796673297,1.108707379,0
263.9187067,120.1923376,147.9256027,284.4308667,0.520075772,0.422571358,0.927883495,0.81251883,1.78413136,1.125602806,0
265.5746808,117.5764416,148.0609136,281.9231489,0.525181824,0.417051392,0.942010906,0.794108579,1.793685277,1.122230987,0
266.1901197,117.403866,146.7982637,282.9862235,0.518747033,0.414874846,0.940646921,0.799763315,1.813305642,1.120415082,0
283.7412899,142.8833588,156.5746646,295.8268003,0.52927816,0.482996668,0.959146668,0.912557336,1.812178813,1.060420363,0
286.3266351,144.1200451,158.2181024,297.125673,0.532495562,0.485047434,0.963654982,0.91089479,1.809695799,1.057840137,0
285.9858305,142.6385793,156.680693,298.0163267,0.525745333,0.478626728,0.959631419,0.910377511,1.825278054,1.06082857,0
286.6534159,140.1467233,155.622265,299.6492833,0.51934803,0.467702515,0.95662974,0.90055702,1.841982032,1.066708997,0
285.8688427,141.5701911,154.5958358,300.9046236,0.513770224,0.47048194,0.950031406,0.915743884,1.849136759,1.065650124,0
284.7807824,143.4622738,155.1967986,300.6697772,0.516170265,0.477142316,0.947154666,0.924389389,1.834965573,1.064504302,0
281.0207618,143.8557952,156.0969005,300.9193819,0.518733288,0.478054269,0.933873917,0.921580087,1.800296872,1.075644855,0
281.2270035,142.6185654,156.4627662,301.5028005,0.518942995,0.473025674,0.932750883,0.911517602,1.797405289,1.080501013,0
280.6232195,141.2146917,155.9131527,298.9010187,0.52162135,0.472446338,0.938849994,0.905726613,1.799868802,1.078172823,0
281.2164778,137.4374795,158.0047019,294.3778333,0.536741167,0.466874418,0.955290943,0.86983158,1.77979816,1.080564335,0
195.289416,121.3252512,92.07738919,187.3801693,0.491393457,0.64748181,1.042209625,1.317644345,2.120926948,0.882642491,0
135.6602108,119.225811,86.86810302,188.5543504,0.460705907,0.632315355,0.719475369,1.372492398,1.561680364,1.080571039,0
134.000295,117.7240546,88.08274403,183.4009986,0.48027407,0.641894295,0.730641033,1.336516657,1.521300188,1.078496153,0
134.3268823,117.6297572,87.79776647,183.246335,0.47912427,0.641921473,0.73303994,1.339780748,1.529957854,1.075756931,0
135.0136028,117.47019,87.05752746,184.0525831,0.473003562,0.63824255,0.733559946,1.349339838,1.550855012,1.07377233,0
60.44397364,66.42193103,66.77509592,161.6438699,0.413100082,0.410915249,0.373932978,0.994711129,0.905187373,1.8004756,0
49.18780929,64.50228661,65.14644963,164.5669405,0.395865958,0.391951667,0.298892409,0.990112078,0.755034381,2.020522442,0
50.42360978,64.95419638,67.97136699,163.7869813,0.414998594,0.396577285,0.307860914,0.955611153,0.741836041,2.008690891,0
44.16705907,63.38708677,62.66262292,157.0379095,0.399028637,0.403641942,0.281250936,1.011561339,0.704838978,2.042697012,0
42.88396236,61.58875222,62.5135333,158.6220915,0.394103575,0.388273485,0.270353026,0.985206706,0.685994857,2.116683056,0
40.23643937,62.73527908,61.25897338,154.2380126,0.397171698,0.406743306,0.260872393,1.02409942,0.656825231,2.092778379,0
37.64046875,57.69412105,60.57794755,152.9318691,0.396110686,0.377253749,0.246125735,0.95239478,0.62135596,2.239583945,0
39.71598679,56.9680352,63.30098448,155.111056,0.408101048,0.367272564,0.256048716,0.899954964,0.627414994,2.259029321,0
41.39988335,56.49711029,64.60768407,157.7631308,0.409523339,0.358113521,0.262417988,0.874464255,0.640788846,2.271477465,0
